ID	TITLE	CREATOR	FORMAT	PUBLICATION DATES	CONTRIBUTORS	PUBLICATION	PHYSICAL DETAILS	ISBNS	OCLC	SERIES	ISSNS	PRECEDING TITLES	SUCCEEDING TITLES	CREDITS	CARTOGRAPHIC DATA	FINDING AIDS
9824	Marine science newsletters--1977 : an annotated bibliography	compiled by Charlotte M. Ashby	Books		Ashby, Charlotte M. (Charlotte Munchmeyer),United States. Environmental Data Service,United States. Environmental Data and Information Service,United States. Office of Climatology,	Washington, D.C. : U.S. Dept. of Commerce, National Oceanic and Atmospheric Administration, Environmental Data Service, [1977]			ocm04596271	NOAA technical memorandum EDS NODC ; 5,						
9825	Computational intelligence in data mining. Volume 2 : Proceedings of the International Conference on CIDM, 5-6 December 2015	Himansu Sekhar Behera, Durga Prasad Mohapatra, editors	Books		Behera, Himansu Sekhar, editor,Mohapatra, Durga Prasad, editor,	India : Springer, 2016.		9788132227311, 813222731X, 8132227298, 9788132227298, 9788132227298	ocn932064047	Advances in intelligent systems and computing ; v. 411,						
9826	GIS and spatial analysis in veterinary science	edited by P.A. Durr and A.C. Gatrell	Books		Durr, P. A. (Peter A.),Gatrell, Anthony C,	Wallingford, Oxfordshire, UK ; Cambridge, MA : CABI Pub., c2004.		1280833653, 9786610833658, 0851990460	ocn476061748							
9827	Data use and interpretation		Books			[London] : Oxford University Press., 1974.			ocm02177311	Science in geography ; no. 4,						
9828	Proceedings of the NSSDC Conference on Mass Storage Systems and Technologies for Space and Earth Science Applications, July 23-25, 1991	prepared by Mass Storage Conference Program Committee	Books		World Data Center A for Rockets and Satellites,IGY World Data Center A: Rockets and Satellites,World Data Center for Satellite Information,	Greenbelt, Md. : National Space Science Data Center, NASA/Goddard Space Flight Center, [1991?]			ocm29746884	NASA technical memorandum ; 107989,						
9829	Introduction to scheduling	edited by Yves Robert, Frédéric Vivien	Books		Robert, Yves, 1938-,Vivien, Frédéric,	Boca Raton : CRC Press, [2010] ©2010		9781420072730, 1420072730	ocn176924818	Chapman & Hall/CRC computational science series,						
9830	Fundamental statistics for the behavioral sciences	David C. Howell	Books			5th ed. Belmont, CA : Thomson-Brooks/Cole, c2004.		0534399517, 9780534399511, 0534399576, 9780534399573	ocm52587664							
9831	A comparative analysis of methods for tactical data inputting	Alison F. Fields, Richard E. Maisano, and Charles F. Marshall ; Edgar M. Johnson, Work Unit Leader	Books		Maisano, Richard E., author,Marshall, Charles Francis, 1950- author,Johnson, Edgar M,U.S. Army Research Institute for the Behavioral and Social Sciences,U.S. Army Research Laboratory. Human Research and Engineering Directorate,United States. Army,	Alexandria, Va. : [Dept. of Defense], Dept. of the Army, Office of the Deputy Chief of Staff for Personnel, U.S. Army Research Institute for the Behavioral and Social Sciences, 1978.			ocm04873157	Technical paper (U.S. Army Research Institute for the Behavioral and Social Sciences) ; 327,						
9832	Computers in undergraduate education: mathematics, physics, statistics and chemistry; proceedings of a conference sponsored by the National Science Foundation and conducted at the Science Teaching Center of the University of Maryland, College Park, Dec., 8-9, 1967		Books		National Science Foundation (U.S.),University of Maryland (College Park, Md.). Science Teaching Center,United States. Office of Science and Technology,	[College Park, Md.] : [University of Maryland], [1967?]			ocm00252971							
9833	Ground-water data-collection protocols and procedures for the National Water-Quality Assessment Program : selection, installation, and documentation of wells, and collection of related data	by Wayne W. Lapham, Franceska D. Wilde, and Michael T. Koterba	Books		Wilde, Franceska D,Koterba, Michael T,Geological Survey (U.S.),Geographical and Geological Survey of the Rocky Mountain Region (U.S.),Geographical Surveys West of the 100th Meridian (U.S.),Geological and Geographical Survey of the Territories (U.S.),United States. Department of the Interior,	Reston, Va. : U.S. Dept. of the Interior, U.S. Geological Survey ; Denver, Colo. : Earth Science Information Center, Open-File Reports Section [distributor], 1995.			ocm36570299	U.S. Geological Survey open-file report ; 95-398,						
9834	S. 3742, the Data Security and Breach Notification Act of 2010 : hearing before the Subcommittee on Consumer Protection, Product Safety, and Insurance of the Committee on Commerce, Science, and Transportation, United States Senate, One Hundred Eleventh Congress, second session, September 22, 2010		Books			Washington : U.S. G.P.O. : For sale by the Supt. of Docs., U.S. G.P.O., 2011.		9780160895470, 0160895472	ocn754847849	S. hrg. ; 111-1040,						
9835	Discovering algebra with graphing calculators. Representing and analyzing data	[a Discovery Channel production] ; Discovery Education ; writer, Monica M. Neagoy ; producers, Robin Freeman, Jessie Dinh ; executive producers, Edward de Leon, Robert M. Lippincott, Jean Kaplan Teichroew	Videos, Slides, Films		Neagoy, Monica, author of screenplay, host,Freeman, Robin, producer,Dinh, Jessie, producer,De Leon, Edward, producer,Lippincott, Robert M., producer,Teichroew, Jean Kaplan, producer,Discovery Channel (Firm),Discovery Education (Firm),Discovery Communications, Inc,Films for the Humanities & Sciences (Firm),Discovery Channel Education,Films for the Humanities (Firm),	Silver Spring, MD : Discovery Education ; Hamilton, NJ : Distributed by Films for the Humanities & Sciences, 2008.		1604677597, 9781604677591	ocn311853580							
9836	Big data 2.0 processing systems : a survey	Sherif Sakr	Books			Switzerland : Springer, 2016.		9783319387765, 3319387766, 9783319387758, 3319387758	ocn957464752	SpringerBriefs in computer science,						
9837	Agriculture to zoology : information literacy in the life sciences	edited by Jodee L. Kuden, Julianna E. Braund-allen, Daria O. Carle	Books		Kuden, Jodee L., editor,Braund-Allen, Juli, editor,Carle, Daria O., editor,	Kindlington, United Kingdom : Chandos Publishing, an imprint of Elsevier, [2017] ©2017		9780081006726, 0081006721, 9780081006641, 0081006640	ocn990802649							
9838	TEDTalks : David McCandless - The Beauty of Data Visualization	TED Conferences LLC	Videos, Slides, Films		Films Media Group,Films for the Humanities & Sciences (Firm),TED Conferences LLC,Films for the Humanities (Firm),	New York, N.Y. : Films Media Group, [2012], c2010.			ocn841533036							
9839	Nonlinear dynamical systems analysis for the behavioral sciences using real data	edited by Stephen J. Guastello and Robert A.M. Gregson	Books		Guastello, Stephen J,Gregson, R. A. M. (Robert Anthony Mills), 1928-,	Boca Raton, FL : CRC Press, ©2011.		9781439819975, 1439819971	ocn671916619							
9840	The science and applications of microbial genomics : workshop summary	Eileen R. Choffnes, LeighAnne Olsen, and Theresa Wizemann, rapporteurs ; Forum on Microbial Threats, Board on Global Health, Institute of Medicine of the National Academies	Books		Olsen, LeighAnne, author,Wizemann, Theresa M., author,Institute of Medicine (U.S.). Forum on Microbial Threats,Institute of Medicine (U.S.). Forum on Emerging Infections,	Washington, D.C. : The National Academies Press, [2013]		9780309268196, 0309268192, 9780309268202, 0309268206	ocn837646089							
9841	To observe and protect : how NOAA procures data for weather forecasting : hearing before the Subcommittee on Energy and Environment, Committee on Science, Space, and Technology, House of Representatives, One Hundred Twelfth Congress, second session, Wednesday, March 28, 2012		Books			Washington : U.S. G.P.O., 2012. Washington, DC : For sale by the Superintendent of Documents, U.S. G.P.O.			ocn828929009							
9842	Calculating acceptable biological catch for stocks that have reliable catch data only (Only Reliable Catch Stocks - ORCS)	by Jim Berkson ... [and others]	Books		Berkson, Jim M,Southeast Fisheries Science Center (U.S.),Southeast Fisheries Center (U.S.),	Miami, Fla. : U.S. Dept. of Commerce, National Oceanic and Atmospheric Administration, National Marine Fisheries Service, Southeast Fisheries Science Center, [2011]			ocn774050545	NOAA technical memorandum NMFS-SEFSC ; 616,						
9843	Data mining and applications : 23-24 October 2001, Wuhan, China	Deren Li ... [and others], chairs/editors ; sponsored by SPIE--the International Society for Optical Engineering [and] Huazhong University of Science and Technology (China) ; cosponsored by Université de Bordeaux III (France) ... [and others] ; supported by National Natural Science Foundation of China [and] Ministry of Education of China	Books		Li, Deren,Society of Photo-optical Instrumentation Engineers,Hua zhong gong xue yuan,Université de Bordeaux III,Guo jia zi ran ke xue ji jin wei yuan hui (China),China. Jiao yu bu,China. Guo jia jiao yu wei yuan hui,Université de Bordeaux (1441-1970),Université Michel de Montaigne-Bordeaux III,Society of Photographic Instrumentation Engineers,SPIE (Society),	Bellingham, Wash., USA : SPIE, [2001] ©2001		9780819442840, 0819442844	ocm48772755	Proceedings of SPIE--the International Society for Optical Engineering ; v. 4556,						
9844	Earth Observing System : information on NASA's incorporation of existing data into EOSDIS : report to the Chairman, Committee on Science, Space, and Technology, House of Representatives	United States General Accounting Office	Books		United States. Congress. House. Committee on Science, Space, and Technology,United States. Congress. House. Committee on Science and Technology,United States. Congress. House. Committee on Science,	Washington, D.C. : The Office ; Gaithersburg, MD (P.O. Box 6015, Gaithersburg 20877) : The Office [distributor], [1992]			ocm26960960							
9845	Adapting proofs-as-programs : the Curry-Howard protocol	Iman Hafiz Poernomo, John Newsome Crossley, Martin Wirsing	Books		Crossley, John N,Wirsing, M. (Martin),	New York : Springer, [2005] ©2005		0387237593, 0387281835, 9780387237596, 9780387281834	ocn166903733	Monographs in computer science,Texts and monographs in computer science,						
9846	Central flow control management aids code auditor (MACA) data item dictionary	prepared for U.S. Department of Transportation, Federal Aviation Administration, Systems Research & Development Service	Books		United States. Federal Aviation Administration. Systems Research and Development Service,Computer Sciences Corporation. System Sciences Division,United States. Federal Aviation Agency. Systems Research and Development Service,	Washington, D.C. : The Service ; Springfield, Va. : National Technical Information Service [distributor], [1979]			ocm08260712							
9847	Authorizing Appropriations for the Fire Research and Safety Act, and the Standard Reference Data Act		Books			Washington : [s.n.], 1972.				ProQuest U.S. serial set digital collection ; no. 12974-2 H.rp.974,						
9848	Science, a second level course : geochemistry	prepared by The Course Team	Books			Bletchley [Eng.] : Open University Press, 1972.			ocm03570085							
9849	Adaptive multimedia retrieval : user, context, and feedback : third international workshop, AMR 2005, Glasgow, UK, July 28-29, 2005 : revised selected papers	Marcin Detyniecki ... [and others] (eds.)	Books		Detyniecki, Marcin,	Berlin ; New York : Springer, [2006] ©2006		3540321748, 9783540321743	ocm64769168	Lecture notes in computer science. 3877,						
9850	Developing and evaluating methods for using American community survey data to support the school meals programs : interim report	Panel on Estimating Children Eligible for School Nutrition Programs Using the American Community Survey ; Allen L. Schirm and Nancy J. Kirkendall, editors ; Committee on National Statistics, Division of Behavioral and Social Sciences and Education, National Research Council of the National Academies	Books		Schirm, Allen L,Kirkendall, Nancy J. (Nancy Jean),National Academies Press (U.S.),National Academy Press (U.S.),	Washington, D.C. : National Academies Press, [2010] ©2010		0309154529, 9780309154529	ocn655759714							
9851	Emerging biological threats and public health preparedness : getting beyond getting ready : field hearing before the Subcommittee on Emerging Threats, Cybersecurity, and Science and Technology of the Committee on Homeland Security, House of Representatives, One Hundred Tenth Congress, second session, July 22, 2008		Books			Washington : U.S. Government Printing Office : 2009. For sale by the Superintendent of Documents, U.S. Government Printing Office, 2009.										
9852	Research in communication sciences and disorders : methods for systematic inquiry	Lauren K. Nelson, PhD, CCC-SLP	Books			Third edition. San Diego, CA : Plural Publishing, Inc., [2017] ©2017		9781597567268, 1597567264	ocn951830068							
9853	National manpower survey : report on survey research procedures and data base characteristics	by James M. Kretz, Gloria Shaw Hamilton, Mary E. Dixon ; with the assistance of Neil Bomberg ... [and others]	Books		Hamilton, Gloria Shaw,Dixon, Mary E,Bureau of Social Science Research (Washington, D.C.),American University (Washington, D.C.). Bureau of Social Science Research,	Washington : Bureau of Social Science Research, 1976.			ocm06120738							
9854	Transactions on large-scale data- and knowledge-centered systems XXXIII	Abdelkader Hameurlain, Josef Küng, Roland Wagner, Reza Akbarinia, Esther Pacitti (eds.)	Books		Hameurlain, Abdelkader, editor,Küng, Josef, 1962- editor,Wagner, Roland (Professor for Information Systems), editor,Akbarinia, Reza, editor,Pacitti, Esther, editor,	Berlin, Germany : Springer, 2017.		9783662556962, 3662556960, 9783662556955	on1001552880	Lecture notes in computer science ; 10430,						
9855	Implementation of the Computer Security Act : hearing before the Subcommittee on Transportation, Aviation, and Materials of the Committee on Science, Space, and Technology, House of Representatives, One Hundredth Congress, second session, September 22, 1988		Books			Washington : U.S. G.P.O. : For sale by the Supt. of Docs., Congressional Sales Office, U.S. G.P.O., 1989.			ocm19256725							
9856	Turbulent reacting flows	prepared by a committee for the United States Air Force Office of Scientific Research	Books		United States. Air Force. Office of Scientific Research,	Oxford ; New York : Pergamon, 1986.		9780080352008, 0080352006		Progress in energy and combustion science ; v. 12, no. 4 (1986),						
9857	Logical data base design	Paul E. Jones, Jr., Robert M. Curtice	Books		Jones, Paul E,	Second edition. Wellesley, Mass. : QED Information Sciences, [1988] ©1988		9780894352324, 0894352326	ocm17840657							
9858	Digital code of life : how bioinformatics is revolutionizing science, medicine, and business	Glyn Moody	Books			Hoboken, N.J. : J. Wiley, [2004] ©2004		9780471327882, 0471327883	ocm53284897							
9859	High school dropout, graduation, and completion rates better data, better measures, better decisions	Committee for Improved Measurement of High School Dropout and Completion Rates: Expert Guidance on Next Steps for Research and Policy Workshop ; Robert M. Hauser and Judith Anderson Koenig, editors ; Center for Education, Division of Behavioral and Social Sciences and Education ; National Research Council and National Academy of Education	Books		Hauser, Robert Mason,Koenig, Judith A,National Academy of Education,National Research Council (U.S.),National Academies Press (U.S.),National Academy Press (U.S.),National Academies of Sciences, Engineering, and Medicine (U.S.),	Washington, D.C. : National Academies Press, c2011.		1283044609, 9786613044600, 0309163080								
9860	Providing aviation weather services to the Federal Aviation Administration : hearing before the Subcommittee on Investigations and Oversight, Committee on Science and Technology, House of Representatives, One Hundred Eleventh Congress, first session, July 16, 2009		Books			Washington : U.S. Government Printing Office : 2010. For sale by the Superintendent of Documents, U.S. Government Printing Office, 2010.										
9861	Soil physics with BASIC : transport models for soil-plant systems	Gaylon S. Campbell	Books			Amsterdam ; New York : Elsevier, 1985.		9780444425577, 0444425578	ocm12752346	Developments in soil science ; 14,						
9862	Financial cryptography and data security : 13th international conference, FC 2009, Accra Beach, Barbados, February 23-26, 2009 : revised selected papers	Roger Dingledine, Philippe Golle (eds.)	Books		Dingledine, Roger, 1977-,Golle, Philippe,SpringerLink (Online service),LINK (Online service),	Berlin ; New York : Springer, [2009] ©2009		9783642035494, 3642035493	ocn437346671	Lecture notes in computer science ; 5628,						
9863	Death Valley, California : surface micro-relief statistics and radar scatterometer data	by Gerald G. Schaber, Graydon L. Berlin ; prepared for the National Aeronautics and Space Administration	Books		Berlin, Graydon Lennis, 1943-,United States. National Aeronautics and Space Administration,Geological Survey (U.S.),Geographical and Geological Survey of the Rocky Mountain Region (U.S.),Geographical Surveys West of the 100th Meridian (U.S.),Geological and Geographical Survey of the Territories (U.S.),United States. Department of the Interior,United States. National Advisory Committee for Aeronautics,United States. National Aeronautics and Space Council,	[Flagstaff, Ariz.] : U.S. Dept. of the Interior, U.S. Geological Survey ; [Denver, Colo.] : [Books and Open-File Reports Section, distributor], 1993.			ocm30712096	U.S. Geological Survey open-file report ; 93-272,						
9864	Science and Technology Act of 1958. Part 1 hearings before the United States Senate Committee on Government Operations, Subcommittee on Reorganization, Eighty-Fifth Congress, second session, on May 2, 6, 7, 1958		Books			Washington : U.S. G.P.O., 1958.										
9865	Federal government computer security : hearings before the Subcommittee on Transportation, Aviation, and Materials and the Subcommittee on Science, Research, and Technology of the Committee on Science and Technology, House of Representatives, Ninety-ninth Congress, first session, October 29, 30, 1985		Books		United States. Congress. House. Committee on Science and Technology. Subcommittee on Science, Research, and Technology,United States. Congress. House. Committee on Science and Astronautics. Subcommittee on Science, Research, and Development,	Washington : U.S. G.P.O., 1986.			ocm13195793							
9866	Data privacy management and autonomous spontaneous security : 8th International Workshop, DPM 2013, and 6th International Workshop, SETOP 2013, Egham, UK, September 12-13, 2013, revised selected papers	Joaquin Garcia-Alfaro, Georgios Lioudakis, Nora Cuppens-Boulahia, Simon Foley, William M. Fitzgerald (eds.)	Books		Garcia-Alfaro, Joaquin, editor,	Heidelberg : Springer, 2014.		9783642545689, 3642545688, 9783642545672	ocn880374171	Lecture notes in computer science ; 8247,LNCS sublibrary. Security and cryptology,						
9867	Geographic Information System data sets of hydrogeologic conditions in Pequea and Mill Creek watersheds, Pennsylvania	prepared in cooperation with the Pennsylvania Department of Environmental Resources, Bureau of Water Quality Management	Books		Dugas, Diana L,Pennsylvania. Bureau of Water Quality Management,Geological Survey (U.S.),Geographical and Geological Survey of the Rocky Mountain Region (U.S.),Geographical Surveys West of the 100th Meridian (U.S.),Geological and Geographical Survey of the Territories (U.S.),United States. Department of the Interior,Pennsylvania. Bureau of Sanitary Engineering,Pennsylvania. Bureau of Water Quality Protection,Pennsylvania. Department of Environmental Resources,	Lemoyne, Pa. : U.S. Dept. of the Interior, U.S. Geological Survey ; Denver, Colo. : Earth Science Information Center, Open-File Reports Section [distributor], 1995.			ocm36136162	U.S. Geological Survey open-file report ; 95-113, 95-193,						
9868	Environmental data handling	George B. Heaslip	Books			New York : Wiley, [1975]		9780471366720, 0471366722	ocm01339774	Environmental science and technology,						
9869	From words to numbers : narrative, data, and social science	Roberto Franzosi	Books			Cambridge ; New York : Cambridge University Press, 2004.		9780521815208, 0521815207, 9780521541459, 052154145X	ocm52197605	Structural analysis in the social sciences ; 22,						
9870	Future directions for NSF advanced computing infrastructure to support U.S. science and engineering in 2017-2020	Committee on Future Directions for NSF Advanced Computing Infrastructure to Support U.S. Science in 2017-2020 ; Computer Science and Telecommunications Board ; Division on Engineering and Physical Sciences ; the National Academies of Sciences, Engineering, Medicine	Books			Washington, DC : The National Academies Press, [2016] ©2016		9780309389617, 0309389615	ocn953798963							
9871	Computer algebra in scientific computing : 15th International Workshop, CASC 2013, Berlin, Germany, September 9-13, 2013, proceedings	Vladimir P. Gerdt, Wolfram Koepf, Ernst W. Mayr, Evgenii V. Vorozhtsov (eds.)	Books		Gerdt, V. P., editor,Koepf, Wolfram, editor,Mayr, Ernst, editor,Vorozhtsov, E. V. (Evgenii Vasilʹevich), 1946- editor,	Cham : Springer, [2013] ©2013		3319022970, 9783319022970, 9783319022963	ocn858949514	Lecture notes in computer science ; 8136,						
9872	CAAP 86 : 11th Colloquium on Trees in Algebra and Programming, Nice, France, March 24-26, 1986 : proceedings	edited by P. Franchi-Zannettacci	Books		Franchi-Zannettacci, P. (Paul),	Berlin ; New York : Springer-Verlag, 1986.		9780387164434, 038716443X	ocm13331342	Lecture notes in computer science ; 214,						
9873	Query answer authentication	HweeHwa Pang, Kian-Lee Tan	Books		Tan, Kian-Lee,	[San Rafael, Calif.] : Morgan & Claypool Publishers, [2012] ©2012		9781608457663, 1608457664, 9781608457656	ocn779514204	Synthesis lectures on data management ; #24,						
9874	Ambulation analysis in wearable ECG	Subhasis Chaudhuri, Tanmay D. Pawar, Siddhartha Duttagupta	Books		Pawar, Tanmay D,Duttagupta, Siddhartha,	Dordrecht ; New York : Springer, [2009] ©2009		9781441907240, 1441907246, 9781441907233, 1441907238	ocn428196807							
9875	Protocols for data security	Richard A. DeMillo, Michael Merritt	Books		Merritt, Michael, 1957-,Georgia Institute of Technology. School of Information and Computer Science,Georgia Institute of Technology. School of Information Science,	Atlanta : School of Information and Computer Science, Georgia Institute of Technology, 1982.			ocm10830318	GIT-ICS ; 82/09,						
9876	Grid computing in life science : First International Workshop on Life Science Grid, LSGRID 2004, Kanazawa, Japan, May 31-June 1, 2004 : revised selected and invited papers	Akihiko Konagaya, Kenji Satou, eds	Books		Konagaya, Akihiko,Satou, Kenji,	Berlin ; New York : Springer, 2005.		9783540252085, 3540252088	ocm58467539	Lecture notes in computer science ; 3370,Lecture notes in computer science. Lecture notes in bioinformatics,LNCS sublibrary. Bioinformatics,						
9877	Selected meteorological data for an arid site near Beatty, Nye County, Nevada, calendar years 1990 and 1991	by James L. Wood and B.J. Andraski	Books; Microforms		Andraski, B. J,Geological Survey (U.S.),Geographical and Geological Survey of the Rocky Mountain Region (U.S.),Geographical Surveys West of the 100th Meridian (U.S.),Geological and Geographical Survey of the Territories (U.S.),United States. Department of the Interior,	Carson City, Nev. : U.S. Geological Survey ; Denver, CO : USGS Earth Science Information Center, Open-File Reports Section [distributor], 1995.			ocm32151848	U.S. Geological Survey open-file report ; 94-489,						
9878	Journal on data semantics IX	Stefano Spaccapietra ... [and others] (eds.)	Books		Spaccapietra, S,SpringerLink (Online service),LINK (Online service),	Berlin ; New York : Springer, [2007] ©2007		3540749829, 9783540749820	ocn174121137	Lecture notes in computer science. 4601,LNCS sublibrary. Information systems and applications, incl. Internet/Web, and HCI,						
9879	GIS fundamentals	Stephen Wise	Books			Second Edition. Boca Raton, FL : CRC Press, 2014		9781439886953, 1439886954	ocn849801243							
9880	Preclinical speech science : anatomy, physiology, acoustics, and perception	Thomas J. Hixon, Gary G. Weismer, Jeannette D. Hoit	Books		Weismer, Gary,Hoit, Jeannette D. (Jeannette Dee), 1954-,	San Diego : Plural Pub., ©2008.		9781597561822, 1597561827	ocn195766736							
9881	Social science and the Federal Government	Special editor of this volume, Gene M. Lyons	Books		Lyons, Gene M., 1924-2013, editor,	Philadelphia : American Academy of Political and Social Science, 1971.			ocm00134581	Annals of the American Academy of Political and Social Science ; v. 394,						
9882	Water-quality data for the Ohio River from New Cumberland Dam to Pike Island Dam, West Virginia and Ohio, June-November 1992	by Kimberly F. Miller ... [and others] ; prepared in cooperation with the city of New Martinsville, West Virginia	Books		Miller, Kimberly F,New Martinsville (W. Va.),Geological Survey (U.S.),Geographical and Geological Survey of the Rocky Mountain Region (U.S.),Geographical Surveys West of the 100th Meridian (U.S.),Geological and Geographical Survey of the Territories (U.S.),United States. Department of the Interior,	Charleston, W. Va. : U.S. Dept. of the Interior, U.S. Geological Survey ; Denver, CO : Earth Science Information Center, Open-File Reports Section [distributor], 1995.			ocm36984588	U.S. Geological Survey open-file report ; 95-129,						
9883	The Value of Your Personal Data	NPO/Netherlands Public Broadcast	Videos, Slides, Films		Films Media Group,Films for the Humanities & Sciences (Firm),Films for the Humanities (Firm),	New York, N.Y. : Films Media Group, [2014], c2013.			ocn881398498							
9884	Review of a new data management system for the Social Security Administration : a report to the Social Security Administration ...	by the Panel on Social Security Administration Data Management System, Board on Telecommunications-Computer Applications, Assembly of Engineering, National Research Council	Books		United States. Social Security Administration,United States. Social Security Board,United States. Department of Health and Human Services,United States. Department of Health, Education, and Welfare,United States. Federal Security Agency,	Washington, D.C. : National Academy of Sciences ; 1978. Springfield, VA : For sale by the National Technical Information Service, 1978.		0309581745, 9780309581745	ocm58654126							
9885	Physical and chemical data from the Scorpio Expedition in the South Pacific Ocean aboard USNS Eltanin cruises 28 and 29, 12 March-31 July, 1967	Scripps Institution of Oceanography, Woods Hole Oceanographic Institution, and Massachusetts Institute of Technology	Books		Scripps Institution of Oceanography,Woods Hole Oceanographic Institution,Massachusetts Institute of Technology,United States Antarctic Research Program,United States Antarctic Program,Scripps Institution for Biological Research,University of California, San Diego,	[La Jolla] : [Scripps Institution of Oceanography], [1969?]			ocn315669284	SIO reference ; no. 69-15,						
9886	An integrated support system for design of distributed data bases	by Uday Ravindranath Kulkarni	Books			[Place of publication not identified] : [publisher not identified], 1989.			ocm21092935							
9887	Mössbauer effect data index : covering the 1976 literature	edited by John G. Stevens and Virginia E. Stevens, University of North Carolina at Asheville and University of Nijmegen, the Netherlands	Books		Stevens, John G. (John Gehret), 1941- editor,Stevens, Virginia E., 1942- editor,	New York : Springer Science+Business Media, [1978] ©1978		9781475759037, 1475759037, 9781475759051	ocn892618311							
9888	Using published data : errors and remedies	Herbert Jacob	Books			Beverly Hills : Sage Publications, [1984] ©1984		9780803922990, 080392299X	ocm11570707	Quantitative applications in the social sciences ; no. 07-042,						
9889	Intermediate problem solving and data structures : walls and mirrors	Paul Helman, Robert Veroff	Books		Veroff, Robert,	Menlo Park, Calif. : Benjamin/Cummings Pub. Co., [1986] ©1986		9780805389401, 0805389407	ocm12132521	Benjamin/Cummings series in structured programming,						
9890	Introduction to computational social science : principles and applications	Claudio Cioffi-Revilla	Books			London : Springer, 2014.		9781447156611, 1447156617, 9781447156604	ocn869215055	Texts in computer science,Undergraduate texts in computer science,						
9891	Year 2000 computing crisis : additional work remains to ensure delivery of critical services : statement of Joel C. Willemssen, Director, Civil Agencies Information Systems, Accounting and Information Management Division, before the Subcommittee on Government Management, Information and Technology, Committee on Government Reform, and the Subcommittee on Technology, Committee on Science, House of Representatives	United States General Accounting Office	Books; Microforms		United States. General Accounting Office,United States. Government Accountability Office,United States. Auditor for Interior Department,United States. Auditor for Navy Department,United States. Auditor for Post-Office Department,United States. Auditor for State and Other Departments,United States. Auditor for Treasury Department,United States. Auditor for War Department,United States. Comptroller of the Treasury,	Washington, D.C. : The Office ; [Gaithersburg, MD (P.O. Box 6015, Gaithersburg 20884-6015) :] : [The Office, distributor], [1999]			ocm41978590	Testimony ; GAO/T-AIMD-99-143,						
9892	WEBKDD 2001--mining web log data across all customer touch points : third international workshop, San Francisco, CA, USA, August 26, 2001 : revised papers	Ron Kohavi ... [and others] (eds.)	Books		Kohavi, Ron,	Berlin ; New York : Springer, [2002] ©2002		9783540439691, 3540439692	ocm50511406	Lecture notes in computer science ; 2356,Lecture notes in computer science. Lecture notes in artificial intelligence,LNCS sublibrary. Artificial intelligence,						
9893	Understanding and using scientific evidence : how to critically evaluate data	Richard Gott and Sandra Duggan	Books		Duggan, Sandra, 1949-,	London ; Thousand Oaks, Calif. : SAGE, 2003.		9780761970835, 0761970835, 9780761970842, 0761970843	ocm50056181							
9894	Trends in CTE coursetaking		Books		National Center for Education Statistics,National Center for Educational Statistics,United States. Office of Educational Research and Improvement. Center for Education Statistics,United States. Office of Educational Research and Improvement. Center for Statistics,Institute of Education Sciences (U.S.),United States. Department of Education,United States. Department of Health, Education, and Welfare. Education Division,United States. Office of Educational Research and Improvement,	[Washington, D.C.] : U.S. Department of Education, National Center for Education Statistics, Institute of Education Sciences, 2013.			on1003048902	NCES data point,						
9895	Business data processing and computer programming		Books			Chicago : Science Research Associates, [1973]										
9896	Advancing strategic science : a spatial data infrastructure roadmap for the U. S. Geological Survey	Committee on Spatial Data Enabling USGS Strategic Science in the 21st Century, Mapping Science Committee, Board on Earth Sciences and Resources, Division on Earth and Life Studies, National Research Council of the National Academies	Books		Studies, Division on Earth and Life,Resources, Board on Earth Sciences and,National Research Council (U.S.). Committee on Spatial Data Enabling USGS Strategic Science in the 21st Century,National Research Council (U.S.). Mapping Science Committee,National Research Council (U.S.). Board on Earth Sciences and Resources,National Academies of Sciences, Engineering, and Medicine (U.S.). Board on Earth Sciences and Resources,	Washington, District of Columbia : National Academies Press, [2012] ©2012		9780309264587, 0309264588								
9897	1964 NASA Authorization. Part 4., Including Index for All Parts hearings before the United States House Committee on Science and Astronautics, Subcommittee on Applications and Tracking and Data Acquisition, Eighty-Eighth Congress, first session, on Mar. 12-14, 19, 20, 26, Apr. 2-4, 9, 10, 30, May 2, 9, June 6, 1963		Books			Washington : U.S. G.P.O., 1963.										
9898	An introduction to statistical methods and data analysis	Lyman Ott	Books			Third edition. Boston : PWS-Kent Pub. Co., [1988] ©1988		9780534919269, 053491926X	ocm16578302	Duxbury series in statistics and decision sciences,Duxbury series in business statistics and decision sciences,						
9899	The manual of strategic economic decision making : using Bayesian belief networks to solve complex problems	Jeff Grover	Books			Cham, Switzerland : Springer, 2016.		9783319484143, 3319484141, 9783319484136	ocn964698670							
9900	OECD science, technology, and industry outlook 2012		Books		Organisation for Economic Co-operation and Development,Organisation for European Economic Co-operation,	Paris : OECD, c2012.		9789264170391, 9264170391	ocn818883555	OECD science, technology, and industry outlook,						
9901	International assessment of research and development in simulation-based engineering and science	editor, Sharon C. Glotzer	Books		Glotzer, Sharon C,National Science Foundation (U.S.),World Technology Evaluation Center,Japanese Technology Evaluation Center (Loyola College in Maryland),United States. Office of Science and Technology,	London : Imperial College Press ; Singapore ; Hackensack, N.J. : Distributed by World Scientific Publishing, c2011.		9781848166981, 1848166982	ocn858228084							
