,_id,ltable_ID,rtable_ID,ltable_Title,ltable_Author,ltable_Publication,ltable_Format,ltable_ISBN,ltable_Series,ltable_Physical Details,rtable_Title,rtable_Author,rtable_Publication,rtable_Format,rtable_ISBN,rtable_Series,rtable_Physical Details,label
140,595,a2596,b3395,"""Financial cryptography and data security : 9th international conference, FC 2005, Roseau, the Commonwealth of Dominica, February 28-March 3, 2005 : revised papers""","""Andrew S. Patrick, Moti Yung (eds.)""","""Berlin ; New York : Springer, [2005] ©2005""","""Books""",9783540266563,"""Lecture notes in computer science. 3570,""","""nan""","""Information security and cryptology : 4th international conference, Inscrypt 2008, Beijing, China, December 14-17, 2008 ; revised selected papers  ""","""Yung, Moti. | Liu, Peng, | Lin, Dongdai.""","""Berlin ; Springer, Â©2009.""","""Electronic books. | Conference papers and proceedings.""",9783642014406,"""Lecture notes in computer science ; 5487.""","""1 online resource (xiii, 437 pages)""",0
256,1127,a4110,b801,"""Data warehousing and knowledge discovery : 5th international conference, DaWaK 2003, Prague, Czech Republic, September 3-5, 2003 : proceedings""","""Yahiko Kambayashi, Mukesh Mohania, Wolfram Wöss (eds.)""","""Berlin ; New York : Springer-Verlag, [2003] ©2003""","""Books""",9783540408079,"""Lecture notes in computer science ; 2737,""","""nan""","""Data warehousing and knowledge discovery : 11th International Conference, DaWaK 2009 Linz, Austria, August 31-September 2, 2009, proceedings  ""","""Pedersen, Torben Bach. | Mohania, Mukesh. | Tjoa, A. Min.""","""Berlin ; Springer-Verlag, Â©2009.""","""Electronic books. | Conference papers and proceedings.""",9783642037306,"""Lecture notes in computer science ; 5691.""","""1 online resource.""",0
274,1185,a2545,b6943,"""Understanding and conducting research in the health sciences""","""Christopher J.L. Cunningham, Department of Psychology, the University of Tennessee at Chattanooga, Chattanooga, TN, Bart L. Weathington, Department of Psychology, the University of Tennessee at Chattanooga, Chattanooga, TN, David J. Pittenger, College of Liberal Arts, Marshall University, Huntington, WV""","""Hoboken, New Jersey : Wiley, [2013]""","""Books""",9781118595107,"""nan""","""nan""","""Understanding and conducting research in the health sciences  ""","""Cunningham, Christopher J. L.""","""Hoboken, New Jersey""","""Electronic books.""",9781118594360,"""nan""","""1 online resource""",1
142,600,a4148,b4001,"""Trees in algebra and programming, CAAP'94 : 19th International Colloquium, Edinburgh, U.K., April 11-13, 1994 : proceedings""","""Sophie Tison (Ed.)""","""Berlin ; New York : Springer-Verlag, [1994] ©1994""","""Books""",9780387578798,"""Lecture notes in computer science ; 787,""","""nan""","""Trees in algebra and programming, CAAP'94 : 19th international colloquium, Edinburgh, U.K., April 11-13, 1994 : proceedings  ""","""Tison, Sophie.""","""Berlin ; Springer-Verlag, Â©1994.""","""Electronic books. | Conference proceedings.""",9783540483731,"""Lecture notes in computer science ; 787.""","""1 online resource (x, 351 pages)""",1
257,1130,a2077,b4854,"""Information security and cryptology : 6th international conference, Inscrypt 2010, Shanghai, China, October 20-24, 2010 : revised selected papers""","""Xuejia Lai, Moti Yung, Dongdai Lin (eds.)""","""Berlin ; New York : Springer, [2011] ©2011""","""Books""",9783642215186,"""Lecture notes in computer science ; 6584,""","""nan""","""Trusted systems : third International Conference, INTRUST 2011, Beijing, China, November 27-29, 2011, Revised selected papers  ""","""Chen, Liqun. | Yung, Moti. | Zhu, Liehuang.""","""Berlin ; Springer, Â©2012.""","""Electronic books. | Conference papers and proceedings.""",9783642322983,"""Lecture notes in computer science ; 7222. 1611-3349 LNCS sublibrary. SL 4, Security and cryptology.""","""1 online resource (xii, 350 pages)""",0
91,368,a5601,b2547,"""Computational methods in science and engineering : theory and computation : old problems and new challenges : lectures presented at the International Conference on Computational Methods in Science and Engineering 2007 (ICCMSE 2007), Corfu, Greece, 25-30 September 2007""","""editors, George Maroulis, Theodore E. Simos""","""Melville, N.Y. : American Institute of Physics, 2007.""","""Books""",9780735404779,"""AIP conference proceedings (Online) ; v. 963-964,AIP conference proceedings ; no. 963-964,""","""nan""","""Proceedings of the International Conference of Computational Methods in Sciences and Engineering 2003 (ICCMSE 2003) : Kastoria, Greece, September 12-16  ""","""Simos, T. E.""","""River Edge, N.J.""","""nan""",9812385959,"""nan""","""xxii, 694 p.""",0
82,336,a3709,b3056,"""Transactions on large-scale data- and knowledge-centered systems XIX : special issue on big data and open data""","""Abdelkader Hameurlain [and more] (eds.)""","""Heidelberg : Springer, 2015.""","""Books""",9783662465622,"""Lecture notes in computer science ; 8990,""","""nan""","""Transactions on large-scale data- and knowledge-centered systems XVI : selected papers from ACOMP 2013  ""","""Hameurlain, Abdelkader,""","""Berlin""","""Electronic books.""",9783662459478,"""Lecture notes in computer science ; 8960.""","""1 online resource (viii, 103 pages).""",0
283,1231,a4515,b596,"""Open access and the public domain in digital data and information for science : proceedings of an international symposium""","""Julie M. Esanu and Paul F. Uhlir, editors ; U.S. National Committee for CODATA, Board on International Scientific Organizations, Policy and Global Affairs Division ; National Research Council""","""Washington, D.C. : National Academies Press, [2004] ©2004""","""Books""",9780309091459,"""nan""","""nan""","""Advances in intelligent data analysis : reasoning about data : second international symposium, IDA-97, London, UK, August 4-6, 1997 : proceedings  ""","""Liu, X. | Cohen, Paul R. | Berthold, M.""","""Berlin ; Springer, c1997.""","""Electronic books. | Conference proceedings.""",9783540695202,"""Lecture notes in computer science ; 1280.""","""1 online resource (xii, 620 p.)""",0
11,51,a4171,b1113,"""Data and applications security and privacy XXIX : 29th Annual IFIP WG 11.3 Working Conference, DBSec 2015, Fairfax, VA, USA, July 13-15, 2015, proceedings""","""edited by Pierangela Samarati""","""Cham : Springer, 2015.""","""Books""",9783319208107,"""Lecture notes in computer science ; 9149,LNCS sublibrary. Information systems and applications, incl. Internet/Web, and HCI,""","""nan""","""Applied cryptography and network security : 10th International Conference, ACNS 2012, Singapore, June 26-29, 2012. Proceedings  ""","""Bao, Feng, | Samarati, Pierangela. | Zhou, Jianying.""","""Berlin ; Springer, Â©2012.""","""Electronic books. | Conference papers and proceedings.""",9783642312847,"""Lecture notes in computer science ; 7341. LNCS sublibrary. SL 4, Security and cryptology.""","""1 online resource.""",0
119,514,a3243,b4255,"""Algebraic methodology and software technology : 13th international conference, AMAST 2010, Lac-Beauport, QC, Canada, June 23-25, 2010 : revised selected papers""","""Michael Johnson, Dusko Pavlovic (eds.)""","""Berlin ; New York : Springer, [2011] ©2011""","""Books""",9783642177965,"""Lecture notes in computer science ; 6486,""","""nan""","""Financial cryptography and data security : FC 2015 International Workshops, BITCOIN, WAHC, and Wearable, San Juan, Puerto Rico, January 30, 2015, Revised Selected Papers  ""","""Brenner, Michael | Christin, Nicolas, | Johnson, Benjamin, | Rohloff, Kurt,""","""Heidelberg""","""Electronic books.""",9783662480519,"""Lecture notes in computer science ; 8976. 0302-9743 LNCS sublibrary. SL 4, Security and cryptology.""","""1 online resource (xii, 309 pages)""",0
102,418,a4026,b2201,"""Domain-specific conceptual modeling : concepts, methods and tools""","""Dimitris Karagiannis, Heinrich C. Mayr, John Mylopoulos""","""Switzerland : Springer, 2016.""","""Books""",9783319394176,"""nan""","""nan""","""Domain-specific conceptual modeling : concepts, methods and tools  ""","""Karagiannis, D. | Mayr, H. C. | Mylopoulos, John,""","""Switzerland""","""Electronic books.""",9783319394176,"""nan""","""1 online resource (xii, 594 pages)""",1
35,132,a5583,b1671,"""Computational linguistics and intelligent text processing : 5th International Conference, CICLing 2004, Seoul, Korea, February 15-21, 2004 : proceedings""","""Alexander Gelbukh, ed""","""Berlin ; New York : Springer, [2004] ©2004""","""Books""",9783540210061,"""Lecture notes in computer science. 2945,""","""nan""","""Computational linguistics and intelligent text processing : 13th International Conference, CICLing 2012, New Delhi, India, March 11-17, 2012, proceedings. Part I  ""","""Gelbukh, Alexander,""","""Berlin ; Springer, Â©2012.""","""Electronic books. | Conference papers and proceedings.""",9783642286049,"""Lecture notes in computer science ; 7181. LNCS sublibrary. SL 1, Theoretical computer science and general issues.""","""1 online resource (xxiii, 617 pages).""",0
57,225,a5469,b3245,"""Applied cryptography and network security : 4th international conference, ACNS 2006, Singapore, June 6-9, 2006 : proceedings""","""Jianying Zhou, Moti Yung, Feng Bao (eds.)""","""Berlin ; New York : Springer, [2006] ©2006""","""Books""",9783540347033,"""Lecture notes in computer science. 3989,""","""nan""","""Information security and cryptology : 6th international conference, Inscrypt 2010, Shanghai, China, October 20-24, 2010 : revised selected papers  ""","""Lai, Xuejia. | Yung, Moti. | Lin, Dongdai.""","""Berlin ; Springer, Â©2011.""","""Electronic books. | Conference papers and proceedings.""",9783642215186,"""Lecture notes in computer science ; 6584. 0302-9743""","""1 online resource (xiv, 524 pages)""",0
169,719,a5686,b1241,"""Data warehousing and knowledge discovery : 16th International Conference, DaWaK 2014, Munich, Germany, September 2-4, 2014, proceedings""","""Ladjel Bellatreche, Mukesh K. Mohania (eds.)""","""Cham : Springer, [2014] ©2014""","""Books""",9783319101606,"""Lecture notes in computer science ; 8646,LNCS sublibrary. Information systems and applications, incl. Internet/Web, and HCI,""","""nan""","""Model and data engineering : 2nd International Conference, MEDI 2012, Poitiers, France, October 3-5, 2012. Proceedings  ""","""AbellÃ³, Alberto. | Bellatreche, Ladjel, | Benatallah, Boualem.""","""Berlin ; Springer, Â©2012.""","""Electronic books. | Conference papers and proceedings.""",9783642336096,"""Lecture notes in computer science ; 7602. LNCS sublibrary. SL 2, Programming and software engineering.""","""1 online resource.""",0
231,939,a1120,b6846,"""Imaging technologies and data processing for food engineers""","""Nesli Sozer, editor""","""Cham : Springer, 2016.""","""Books""",9783319247359,"""Food engineering series,""","""nan""","""Imaging technologies and data processing for food engineers  ""","""Sozer, Nesli,""","""Cham""","""Electronic books.""",9783319247359,"""Food engineering series.""","""1 online resource (x, 353 pages)""",1
65,271,a2077,b4190,"""Information security and cryptology : 6th international conference, Inscrypt 2010, Shanghai, China, October 20-24, 2010 : revised selected papers""","""Xuejia Lai, Moti Yung, Dongdai Lin (eds.)""","""Berlin ; New York : Springer, [2011] ©2011""","""Books""",9783642215186,"""Lecture notes in computer science ; 6584,""","""nan""","""Trusted systems : sixth International Conference, INTRUST 2014, Beijing, China, December 16-17, 2014, Revised selected papers  ""","""Yung, Moti, | Zhu, Liehuang, | Yang, Yanjiang,""","""Cham""","""Electronic books. | Conference papers and proceedings.""",9783319279985,"""Lecture notes in computer science ; 9473. 1611-3349 LNCS sublibrary. SL 4, Security and cryptology.""","""1 online resource (xiii, 442 pages)""",0
1,3,a3796,b297,"""Cloud computing and security : first International Conference, ICCCS 2015, Nanjing, China, August 13-15, 2015, revised selected papers""","""Zhiqiu Huang, Xingming Sun, Junzhou Luo, Jian Wang (eds.)""","""Cham : Springer, 2015.""","""Books""",9783319270517,"""Lecture notes in computer science ; 9483,LNCS sublibrary. Information systems and applications, incl. Internet/Web, and HCI,""","""nan""","""Intelligent science and intelligent data engineering : third Sino-foreign-interchange Workshop, IScIDE 2012, Nanjing, China, October 15-17, 2012. Revised selected papers  ""","""Yang, Jian, | Fang, Fang. | Sun, Changyin.""","""Berlin ; Springer, Â©2013.""","""Electronic books. | Conference papers and proceedings.""",9783642366697,"""Lecture notes in computer science ; 7751. LNCS sublibrary. SL 6, Image processing, computer vision, pattern recognition, and graphics.""","""1 online resource.""",0
120,516,a5320,b4255,"""Financial cryptography and data security : 18th International Conference, FC 2014, Christ Church, Barbados, March 3-7, 2014, revised selected papers""","""Nicolas Christin, Reihaneh Safavi-Naini (Eds.)""","""Heidelberg : Springer, [2014] ©2014""","""Books""",9783662454725,"""Lecture notes in computer science ; 8437,""","""nan""","""Financial cryptography and data security : FC 2015 International Workshops, BITCOIN, WAHC, and Wearable, San Juan, Puerto Rico, January 30, 2015, Revised Selected Papers  ""","""Brenner, Michael | Christin, Nicolas, | Johnson, Benjamin, | Rohloff, Kurt,""","""Heidelberg""","""Electronic books.""",9783662480519,"""Lecture notes in computer science ; 8976. 0302-9743 LNCS sublibrary. SL 4, Security and cryptology.""","""1 online resource (xii, 309 pages)""",0
269,1160,a2372,b159,"""Data management in grid and peer-to-peer systems : third international conference, Globe 2010, Bilbao, Spain, September 1-2, 2010 : proceedings""","""Abdelkader Hameurlain, Franck Morvan, A Min Tjoa (eds.)""","""Berlin ; New York : Springer, [2010] ©2010""","""Books""",9783642151088,"""Lecture notes in computer science ; 6265,LNCS sublibrary. Information systems and applications, incl. Internet/Web, and HCI,""","""nan""","""Availability, reliability, and security in information systems : IFIP WG 8.4, 8.9, TC 5 International Cross-Domain Conference, CD-ARES 2016, and Workshop on Privacy Aware...""","""Buccafurri, Francesco, | Holzinger, Andreas, | Kieseberg, Peter, | Tjoa, A. Min, | Weippl, Edgar R.,""","""Switzerland""","""Electronic books. | Conference papers and proceedings.""",9783319455075,"""Lecture notes in computer science ; 9817. 0302-9743 LNCS sublibrary. SL 3, Information systems and applications, incl. Internet/Web, and HCI.""","""1 online resource (xii, 267 pages)""",0
186,798,a2498,b6950,"""Scaling OpenMP for Exascale Performance and Portability : 13th International Workshop on OpenMP, IWOMP 2017, Stony Brook, NY, USA, September 20-22, 2017, Proceedings""","""edited by Bronis R. de Supinski, Stephen L. Olivier, Christian Terboven, Barbara M. Chapman, Matthias S. Müller""","""Cham : Springer International Publishing : Imprint: Springer, 2017.""","""Books""",9783319655789,"""Lecture notes in computer science ; 10468,""","""nan""","""Medical Image Computing and Computer-Assisted Intervention MICCAI 2004 00 : 7th International Conference, Saint-Malo, France, September 26-29, 2004. Proceedings, Part II  ""","""Barillot, Christian. | Haynor, David R. | Hellier, Pierre.""","""Berlin ; Springer-Verlag Berlin Heidelberg, 2004.""","""Electronic books.""",9783540301363,"""Lecture notes in computer science ; 3217, 0302-9743""","""1 online resource.""",0
42,179,a3523,b949,"""Secure data management : 6th VLDB workshop, SDM 2009, Lyon, France, August 28, 2009 : proceedings""","""Willem Jonker, Milan Petković (eds.)""","""Berlin ; New York : Springer, 2009.""","""Books""",9783642042195,"""Lecture notes in computer science ; 5776,LNCS sublibrary. Information systems and applications, incl. Internet/Web, and HCI,""","""nan""","""Secure data management : 6th VLDB workshop, SDM 2009, Lyon, France, August 28, 2009 : proceedings  ""","""Jonker, Willem, | PetkoviÄ, Milan.""","""Berlin ; Springer, Â©2009.""","""Electronic books. | Conference papers and proceedings.""",9783642042195,"""Lecture notes in computer science ; 5776. LNCS sublibrary. SL 3, Information systems and applications, incl. Internet/Web, and HCI.""","""1 online resource (viii, 171 pages)""",1
105,430,a4524,b6317,"""Science is golden : a problem-solving approach to doing science with children""","""Ann Finkelstein""","""East Lansing : Michigan State University Press, [2002] ©2002""","""Books""",9780870135668,"""nan""","""nan""","""Science is Golden : a Problem-Solving Approach to Doing Science with Children. ""","""Finkelstein, Ann.""","""East Lansing""","""Electronic books.""",9780870139116,"""nan""","""1 online resource (165 pages)""",1
132,563,a957,b2413,"""Computational methods in science and engineering. Volume 2 : advances in computational science : lectures presented at the International Conference on Computational Methods in Science and Engineering 2008 (ICCMSE 2008), Hersonissos, Crete, Greece, 25-30 September 2008""","""editors, George Maroulis, Theodore E. Simos""","""Melville, N.Y. : American Institute of Physics, [2009] ©2009""","""Books""",9780735406858,"""AIP conference proceedings ; no. 1148,AIP conference proceedings (Online) ; v. 1148,AIP conference proceedings (Online). Atomic, molecular, and optical physics,""","""nan""","""Recent progress in computational sciences and engineering : lectures presented at the International Conference of Computational Methods in Sciences and Engineering 2006 (ICCMSE...""","""Simos, T. E. | Maroulis, George.""","""Zeist""","""nan""",9789004155428,"""Lecture series on computer and computational sciences, 7 1573-196 ;""","""2 v.""",0
79,320,a49,b5576,"""Security assessment in vehicular networks""","""Suguo Du, Haojin Zhu""","""New York, NY : Springer New York : Imprint: Springer, 2013.""","""Books""",9781461493570,"""SpringerBriefs in computer science,""","""nan""","""Security assessment in vehicular networks ""","""Du, Suguo.""","""New York, NY""","""Electronic books.""",9781461493570,"""SpringerBriefs in computer science, 2191-5768""","""1 online resource (xi, 49 pages)""",1
17,62,a5198,b928,"""Machine learning and data mining in pattern recognition : 11th International Conference, MLDM 2015, Hamburg, Germany, July 20-21, 2015, proceedings""","""Petra Perner (ed.)""","""Cham : Springer, 2015.""","""Books""",9783319210247,"""Lecture notes in computer science ; 9166,Lecture notes in computer science. Lecture notes in artificial intelligence,LNCS sublibrary. Artificial intelligence,Lecture notes in computer science. Lecture notes in artificial intelligence,LNCS sublibrary. Artificial intelligence,""","""nan""","""Machine learning and data mining in pattern recognition : 6th international conference, MLDM 2009, Leipzig, Germany, July 23-25, 2009 : proceedings  ""","""Perner, Petra.""","""Berlin""","""Electronic books. | Conference papers and proceedings.""",9783642030703,"""Lecture notes in computer science ; 5632. LNCS sublibrary. SL 7, Artificial intelligence. Lecture notes in computer science. Lecture notes in artificial intelligence.""","""1 online resource (xiv, 824 pages)""",0
263,1148,a2678,b2090,"""Chinese computational linguistics and natural language processing based on naturally annotated big data : 14th China National Conference, CCL 2015, and third International Symposium, NLP-NABD 2015, Guangzhou, China, November 13-14, 2015, proceedings""","""Maosong Sun, Zhiyuan Liu, Min Zhang, Yang Liu (eds.)""","""Cham : Springer, 2015.""","""Books""",9783319258164,"""Lecture notes in computer science. Lecture notes in artificial intelligence 9427,LNCS sublibrary. Artificial intelligence,Lecture notes in computer science. Lecture notes in artificial intelligence,LNCS sublibrary. Artificial intelligence,""","""nan""","""Information computing and applications : third International Conference, ICICA 2012, Chengde, China, September 14-16, 2012. Proceedings. Part II  ""","""Liu, Chunfeng. | Wang, Leizhen. | Yang, Aimin.""","""Berlin ; Springer, Â©2012.""","""Electronic books. | Conference papers and proceedings.""",9783642340413,"""Communications in computer and information science ; 308.""","""1 online resource.""",0
232,953,a5583,b5906,"""Computational linguistics and intelligent text processing : 5th International Conference, CICLing 2004, Seoul, Korea, February 15-21, 2004 : proceedings""","""Alexander Gelbukh, ed""","""Berlin ; New York : Springer, [2004] ©2004""","""Books""",9783540210061,"""Lecture notes in computer science. 2945,""","""nan""","""Computational linguistics and intelligent text processing : 15th International Conference, CICLing 2014, Kathmandu, Nepal, April 6-12, 2014, Proceedings. Part II  ""","""Gelbukh, Alexander,""","""Heidelberg""","""Electronic books.""",9783642549038,"""Lecture notes in computer science ; 8404. 0302-9743 LNCS sublibrary. SL 1, Theoretical computer science and general issues.""","""1 online resource (xxiv, 581 pages)""",0
38,165,a3813,b3051,"""Algorithms and data structures : 12th international symposium, WADS 2011, New York, NY, USA, August 15-17, 2011 : proceedings""","""Frank Dehne, John Iacono, Jörg-Rüdiger Sack (eds.)""","""Berlin ; New York : Springer, [2011] ©2011""","""Books""",9783642223006,"""Lecture notes in computer science ; 6844,LNCS sublibrary. Theoretical computer science and general issues,""","""nan""","""Algorithms and data structures : 14th International Symposium, WADS 2015, Victoria, BC, Canada, August 5-7, 2015 : proceedings  ""","""Dehne, F. | Sack, J.-R. | Stege, Ulrike.""","""Cham""","""Electronic books. | Conference papers and proceedings.""",9783319218403,"""Lecture notes in computer science ; (NL-LeOCL)215138600 9214. 1611-3349 LNCS sublibrary. SL 1, Theoretical computer science and general issues.""","""1 online resource (xiii, 646 pages).""",0
133,564,a1801,b2413,"""Computational methods in science and engineering : advances in computational science : lectures presented at the International Conference on Computational Methods in Sciences and Engineering 2008 (ICCMSE 2008) : Heraklion, Crete (Greece). 25-30 September 2008""","""editor(s): George Maroulis, Theodore E. Simos""","""[Melville, N.Y.] : American Institute of Physics , 2009.""","""Books""",9780735406445,"""AIP conference proceedings (Online) ; v. 1108,""","""nan""","""Recent progress in computational sciences and engineering : lectures presented at the International Conference of Computational Methods in Sciences and Engineering 2006 (ICCMSE...""","""Simos, T. E. | Maroulis, George.""","""Zeist""","""nan""",9789004155428,"""Lecture series on computer and computational sciences, 7 1573-196 ;""","""2 v.""",0
53,210,a3376,b1060,"""Availability, reliability, and security in information systems : IFIP WG 8.4, 8.9, TC 5 International Cross-Domain Conference, CD-ARES 2016, and Workshop on Privacy Aware Machine Learning for Health Data Science, PAML 2016, Salzburg, Austria, August 31 - September 2, 2016, Proceedings""","""Francesco Buccafurri, Andreas Holzinger, Peter Kieseberg, A Min Tjoa, Edgar Weippl (eds.)""","""Switzerland : Springer, 2016.""","""Books""",9783319455075,"""Lecture notes in computer science ; 9817,LNCS sublibrary. Information systems and applications, incl. Internet/Web, and HCI,""","""nan""","""Data management in grid and peer-to-peer systems : third international conference, Globe 2010, Bilbao, Spain, September 1-2, 2010 : proceedings  ""","""Hameurlain, Abdelkader. | Morvan, Franck. | Tjoa, A. Min.""","""Berlin""","""Electronic books. | Conference papers and proceedings.""",9783642151088,"""Lecture notes in computer science ; 6265. 0302-9743 LNCS sublibrary. SL 3, Information systems and applications, incl. Internet/Web, and HCI.""","""1 online resource (x, 159 p.)""",0
258,1131,a4561,b4854,"""Information security and cryptology : 4th international conference, Inscrypt 2008, Beijing, China, December 14-17, 2008 : revised selected papers""","""Moti Yung, Peng Liu, Dongdai Lin (eds.)""","""Berlin ; New York : Springer, [2009] ©2009""","""Books""",9783642014406,"""Lecture notes in computer science ; 5487,""","""nan""","""Trusted systems : third International Conference, INTRUST 2011, Beijing, China, November 27-29, 2011, Revised selected papers  ""","""Chen, Liqun. | Yung, Moti. | Zhu, Liehuang.""","""Berlin ; Springer, Â©2012.""","""Electronic books. | Conference papers and proceedings.""",9783642322983,"""Lecture notes in computer science ; 7222. 1611-3349 LNCS sublibrary. SL 4, Security and cryptology.""","""1 online resource (xii, 350 pages)""",0
128,553,a1743,b6615,"""High performance computing in science and engineering '16 : transactions of the High Performance Computing Center, Stuttgart (HLRS) 2016""","""Wolfgang E. Nagel, Dietmar H. Kröner, Michael M. Resch, editors""","""Cham, Switzerland : Springer, 2016.""","""Books""",9783319470665,"""nan""","""nan""","""Sustained simulation performance 2016 : proceedings of the Joint Workshop on Sustained Simulation Performance, University of Stuttgart (HLRS) and Tohoku University, 2016  ""","""Resch, Michael, | Bez, Wolfgang, | Focht, Erich, | Patel, Nisarg, | Kobayashi, Hiroaki,""","""Cham, Switzerland""","""Electronic books. | Conference papers and proceedings.""",9783319467351,"""nan""","""1 online resource""",0
28,106,a4938,b3064,"""Open data structures : an introduction""","""Pat Morin""","""Edmonton : AU Press, 2013- Minneapolis : Open Textbook Library ©2013-""","""Books""",9781927356395,"""Open paths to enriched learning ; 2,Open Textbook Library,""","""nan""","""Open data structures : an introduction  ""","""Morin, Pat""","""Edmonton""","""Electronic textbooks.""",9781927356395,"""Open paths to enriched learning ; 2.""","""1 online resource""",1
183,768,a3619,b3352,"""Hashing in computer science : fifty years of slicing and dicing""","""Alan G. Konheim""","""Hoboken, N.J. : Wiley, [2010] ©2010""","""Books""",9780470630600,"""nan""","""nan""","""Hashing in computer science : fifty years of slicing and dicing  ""","""Konheim, Alan G., 1934-""","""Hoboken, N.J.""","""Electronic books.""",9781118031834,"""nan""","""1 online resource""",1
163,707,a2308,b1449,"""Information security and privacy : Second Australasian Conference, ACISP '97, Sydney, NSW, Australia, July 7-9, 1997 : proceedings""","""Vijay Varadharajan, Josef Pieprzyk, Yi Mu, (eds.)""","""Berlin ; New York : Springer, [1997] ©1997""","""Books""",9783540632320,"""Lecture notes in computer science. 1270,""","""nan""","""Information security and privacy : 17th Australasian Conference, ACISP 2012, Wollongong, NSW, Australia, July 9-11, 2012. Proceedings  ""","""Susilo, Willy. | Mu, Yi, | Seberry, Jennifer,""","""Berlin ; Springer, Â©2012.""","""Electronic books. | Conference papers and proceedings.""",9783642314483,"""Lecture notes in computer science ; 7372. 1611-3349 LNCS sublibrary. SL 4, Security and cryptology.""","""1 online resource (xiv, 460 pages)""",0
151,675,a2678,b1911,"""Chinese computational linguistics and natural language processing based on naturally annotated big data : 14th China National Conference, CCL 2015, and third International Symposium, NLP-NABD 2015, Guangzhou, China, November 13-14, 2015, proceedings""","""Maosong Sun, Zhiyuan Liu, Min Zhang, Yang Liu (eds.)""","""Cham : Springer, 2015.""","""Books""",9783319258164,"""Lecture notes in computer science. Lecture notes in artificial intelligence 9427,LNCS sublibrary. Artificial intelligence,Lecture notes in computer science. Lecture notes in artificial intelligence,LNCS sublibrary. Artificial intelligence,""","""nan""","""Information computing and applications : third International Conference, ICICA 2012, Chengde, China, September 14-16, 2012. Proceedings. Part I  ""","""Liu, Chunfeng. | Wang, Leizhen. | Yang, Aimin.""","""Berlin ; Springer, Â©2012.""","""Electronic books. | Conference papers and proceedings.""",9783642340383,"""Communications in computer and information science ; 307.""","""1 online resource.""",0
244,1018,a5590,b4920,"""Using SPSS for Windows and Macintosh : analyzing and understanding data""","""Samuel B. Green, Neil J. Salkind""","""Fifth edition. Upper Saddle River, N.J. : Pearson/Prentice Hall, 2008.""","""Books""",9780131890251,"""nan""","""nan""","""Using SPSS for Windows and Macintosh : analyzing and understanding data  ""","""Green, Samuel B., 1947-""","""Boston""","""nan""",9780205020409,"""nan""","""xv, 459 pages""",1
202,830,a5671,b897,"""Citizen science : public participation in environmental research""","""edited by Janis L. Dickinson and Rick Bonney ; foreword by Richard Louv ; afterword by John W. Fitzpatrick""","""Ithaca : Comstock Pub. Associates, 2012.""","""Books""",9780801449116,"""nan""","""nan""","""Citizen Science : Public Participation in Environmental Research  ""","""Dickinson, Janis L., | Bonney, Rick, | Louv, Richard, | Fitzpatrick, John W.,""","""Ithaca""","""Electronic books.""",9780801463952,"""nan""","""1 online resource (xiv, 279 pages)""",1
31,122,a2839,b163,"""Data science : 30th British International Conference on Databases, BICOD 2015, Edinburgh, UK, July 6-8, 2015, proceedings""","""Sebastian Maneth (ed.)""","""Cham : Springer, 2015.""","""Books""",9783319204246,"""Lecture notes in computer science ; 9147,LNCS sublibrary. Information systems and applications, incl. Internet/Web, and HCI,""","""nan""","""Data science : 30th British International Conference on Databases, BICOD 2015, Edinburgh, UK, July 6-8, 2015, Proceedings  ""","""Maneth, Sebastian,""","""Cham""","""Electronic books. | Conference papers and proceedings.""",9783319204246,"""Lecture notes in computer science ; 9147. 0302-9743 LNCS sublibrary. SL 3, Information systems and applications, incl. Internet/Web, and HCI.""","""1 online resource (xx, 221 pages)""",1
32,124,a3463,b2151,"""Big data, little data, no data : scholarship in the networked world""","""Christine L. Borgman""","""Cambridge, Massachusetts : The MIT Press, [2015]""","""Books""",9780262028561,"""nan""","""nan""","""Big data, little data, no data : scholarship in the networked world  ""","""Borgman, Christine L., 1951-""","""Cambridge, Massachusetts""","""nan""",9780262028561,"""nan""","""xxv, 383 pages ; 24 cm""",1
127,552,a5441,b6615,"""High performance computing in science and engineering '15 : transactions of the High Performance Computing Center, Stuttgart (HLRS) 2015""","""Wolfgang E. Nagel, Dietmar H. Kröner, Michael M. Resch, editors""","""Cham : Springer, 2016.""","""Books""",9783319246338,"""nan""","""nan""","""Sustained simulation performance 2016 : proceedings of the Joint Workshop on Sustained Simulation Performance, University of Stuttgart (HLRS) and Tohoku University, 2016  ""","""Resch, Michael, | Bez, Wolfgang, | Focht, Erich, | Patel, Nisarg, | Kobayashi, Hiroaki,""","""Cham, Switzerland""","""Electronic books. | Conference papers and proceedings.""",9783319467351,"""nan""","""1 online resource""",0
185,772,a260,b983,"""The Oxford handbook of the science of science communication""","""edited by Kathleen Hall Jamieson, Dan Kahan, Dietram Scheufele""","""New York, NY, United States of America : Oxford University Press, [2017]""","""Books""",9780190497620,"""Oxford library of psychology,""","""nan""","""The Oxford handbook on the science of science communication  ""","""Jamieson, Kathleen Hall, | Kahan, Dan M., | Scheufele, Dietram,""","""New York, NY, United States of America""","""nan""",9780190497620,"""Oxford library of psychology.""","""xxii, 486 pages""",1
